Owner Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price
556815,5.68,7,4,23087,7413234.92
554743,6,7,3,40173,10541236.37
429009,5.87,9,5,36882,7412915.93
443415,7.19,6,3,34310,8824317.67
419874,5.04,8,4,26354,4416604.43
561232,4.99,6,4,26748,7476966.49
452886,6.03,8,3,60828,10514390.74
548758,6.99,7,2,36516,11017555.92
419496,5.36,6,2,29387,5592086.71
573202,4.42,8,6,40150,10816083.67
563689,8.09,5,4,47224,11949320.04
354158,4.5,7,4,34344,4646126.8
273238,7.67,7,3,39220,7299698.7
512148,6.92,6,2,32326,9039320.64
485737,5.34,8,4,35521,9819727.47
511644,5.44,9,4,23930,9146722.62
557949,5.07,8,3,39718,10897506.2
433503,4.79,5,4,24596,3699396.75
444556,5.95,7,5,35720,7135981.58
434595,5.74,7,5,44922,7214140.01
604065,6.63,8,4,47561,15028477.38
425845,5.55,7,2,45575,6504733.2
451437,4.21,5,4,40359,5032210.61
424879,6.17,7,6,28141,5207998.74
418243,5.34,8,4,27810,6270159.91
398818,8.29,7,4,40695,10177821.57
575218,4.02,7,2,38854,7879847.57
452389,5.44,7,4,27785,6828006.43
633493,6.38,4,3,33970,8685346.39
415268,6.98,8,4,37521,11039124.32
544684,5.31,7,3,33755,8727811.33
480571,6.12,6,4,39356,8195046.23
385287,7.13,9,5,30122,7498954.47
351533,6.12,7,6,16811,3740135.91
391363,5.42,9,6,22355,6554582.72
520611,5.5,7,2,39395,8394356.81
550676,5.47,8,4,27638,8632540.07
550900,5.65,7,3,22837,7568050.91
371896,5.18,5,2,32948,3672989.39
124579,4.95,7,3,47162,2116490.88
409969,6.58,5,2,39705,7187721.8
528766,7.85,8,6,32778,12335502.76
323029,6.62,8,4,27161,6174400.19
492947,6.91,8,4,43184,12214525.47
438298,5.5,7,6,26889,8077100.29
464765,7.07,7,3,39741,10499922.16
517629,4.86,8,6,35261,7767118.66
484015,7.3,6,3,19031,6861241.17
540953,6.24,7,2,21726,9267664.21
607278,6.6,6,4,43017,11637463.18
520800,6.38,7,6,41085,9924738.18
345856,5.83,6,3,26881,3849833.05
435960,6.11,6,4,35264,7383396.86
511546,5.92,6,3,54916,9909532.85
510601,4.79,7,6,24378,6641517.96
446740,5.95,8,4,27826,8117175.64
512855,8.31,7,3,21031,10829933.8
479416,6.12,7,5,18268,8306819.57
386358,7.19,5,4,32538,5404783.79
542045,6.31,5,3,36252,8209111.12
463113,4.48,7,2,37099,7777595.14
423521,7.53,6,4,33580,7159468.19
426377,5.64,7,4,43348,8921321.85
517524,6.39,5,4,36543,8494715.95
416780,6.02,7,5,58601,9882113.36
395836,5.44,7,3,37585,6010798.99
461650,5.48,7,3,40111,8406732.74
521731,6.68,6,4,49482,10641639.61
464961,7.12,7,6,31019,9526358.24
520338,5.42,6,4,41640,9526443.71
444766,4.76,7,3,43282,8025727.15
587671,7.39,7,3,37283,12523689.64
400953,5.12,7,3,44024,5964696.22
395878,5.69,7,3,29682,5222677.11
530572,5.79,7,6,33198,10741359.37
495943,5.28,7,3,40459,8509259.71
418509,5.65,7,3,32402,6591160.31
453782,4.01,8,4,60286,8432186.28
461482,7.61,7,3,34171,11183586.82
450933,6.95,9,6,39318,10444080.5
409808,8.56,7,4,30866,9948515.5
481544,4.73,7,4,48423,7927660.3
574434,4.18,6,4,36271,7719750.08
564620,5.44,7,6,52947,12993479.45
466676,6.18,8,3,47075,11815992.51
453054,5.68,7,4,36116,7443961.07
456400,6.45,7,3,28366,8241029.23
522060,4.64,6,3,42806,8214320.66
533918,7.88,5,3,46975,11460820
472934,5.25,8,4,35518,8672568.03
342335,4.84,5,3,32961,1413286.63
505022,6.4,8,6,28883,10076542.7
495642,4.44,6,3,29269,4099260.41
457681,7.51,7,3,35114,9062796.12
668150,6.6,7,3,39389,14103959.38
515893,6.37,7,4,51815,12881652.07
463848,6.37,7,4,49830,10089953.37
527765,6.93,8,4,22268,10490483.85
461895,6.51,6,2,21867,6683226.06
465339,6.98,6,2,32459,7872451.51
484988,5.35,7,3,40283,8189609.75
492828,5.54,6,2,37128,7801016.65
519526,8.07,7,4,46771,12484743.88
444094,6.47,7,3,48062,9120532.75
402458,6.89,7,4,47039,8690385.27
570808,5.5,6,2,9816,6678801.78
550438,5.47,8,3,43729,10887243.5
365421,4.87,4,2,42166,2834834.59
475860,5.56,6,2,25909,7512286.32
549976,5.48,6,2,41017,9955371.16
388311,4.82,6,3,15354,2384236.47
473053,5.97,8,6,21763,8196716.71
430192,6.88,6,4,30821,6599867.12
425705,7.17,8,4,31234,9811297.44
358519,5.38,9,3,47089,8228531.43
441196,4.86,6,2,35992,4261559.75
437395,6.5,7,5,26883,6628601.28
517461,7.01,7,6,58745,12739304.48
558166,7.32,7,2,28307,10241911.89
447230,4.97,8,5,43416,8766738.26
471170,7.19,8,5,43311,12001116.19
512022,4.1,7,3,49463,9042315.73
608468,6.83,8,6,28719,12664080.03
520688,7.41,5,2,17117,8403775.52
472346,6.62,8,5,29764,9101856.47
498421,4.32,7,4,34207,6982141.11
600915,6.74,9,3,46478,15070715.87
504973,7.16,8,5,35800,11409886.95
313642,4.49,5,3,57391,3483056.15
472528,5.33,6,4,37441,6230787.85
522942,5,6,2,39681,7452799.9
482286,6.79,8,6,39516,10710868.14
406826,8.14,6,4,35598,8723727.81
543501,6.07,5,4,35512,8685284.51
474390,8.07,7,4,33255,12325142.83
520877,5.53,7,6,43538,9756227.32
511707,4.1,9,4,29498,8206701.3
410956,5.08,6,4,15970,3387902.77
447132,7.08,7,3,38053,9719711.12
478401,6.39,8,6,40654,12052175.66
511455,5.99,7,6,30699,8935141.53
471569,6.77,7,2,32547,8132198.76
465829,6.35,5,2,16742,5504855.65
513198,6.41,8,4,37809,11234446.79
333767,6.89,8,5,50909,8611043.98
475377,6.45,7,4,31380,7361511.85
484946,6.14,8,5,43718,9905515.27
475629,5.4,6,3,35198,7304387.44
636825,4.74,8,6,44426,10810658.25
433202,5.41,7,3,48727,9464951.79
485814,7.04,8,3,29293,10540092.01
510783,6.19,8,4,31756,9918761.86
529074,5.51,7,4,31946,7327053.86
393687,5.62,7,2,32745,6573280
555891,6.09,7,3,17569,9681219.31
557326,4.57,7,3,29637,7507522.68
469133,6.49,7,6,24997,7940784.32
392441,5.11,5,4,39129,5143792.57
399546,5.78,7,4,33394,6943246.24
531685,4.29,7,5,34468,7400768.06
368032,7.13,7,4,41829,8660574.02
443191,6.14,8,4,43230,10098427.78
577689,6.45,8,4,43948,13141816.24
512435,6.64,7,6,35091,9761628.94
394499,5.71,5,3,38062,6677575.31
499219,7.11,7,5,21652,8538446.21
525329,4.98,9,3,32468,9011277.66
591318,6.97,6,2,38678,12179254.92
477141,6.96,7,3,31844,8493675.54
439488,7.57,5,3,35122,7052351.25
469070,6.85,8,3,39737,10701292.91
472059,6.77,7,2,29356,8277218.39
461776,6.85,8,3,35800,10321827.32
299712,7.6,7,4,47458,7546118.58
583436,5.47,5,3,48227,10173671.34
571900,5.48,6,4,39527,10465090.72
393008,4.58,7,4,45084,4999038.87
416598,4.89,6,3,44162,6260044.35
548653,5.99,6,3,31357,8118892.81
496139,6.77,7,5,36033,8371904.1
430689,6.59,9,6,27308,9670014.41
457219,7.41,7,2,55799,10744228.95
533883,6.94,6,3,38650,10458877.31
339717,6.86,9,5,39731,9493023.82
580349,5.9,6,4,38820,10184601.49
441826,4.94,6,2,43092,5418827.33
531027,3.69,5,3,41004,6223792.68
481915,4.86,7,3,48392,8477715.47
367122,5.69,7,3,32935,4610523.26
485401,5.8,8,3,37082,9800734.09
391524,7.22,6,4,42488,8834124.53
373149,4.63,6,2,39063,3871540.47
398839,6.06,7,3,46376,8422735.23
359072,6.16,8,6,32079,7807261.07
447965,7.6,7,5,24748,9113169.94
503405,6.28,6,4,27714,7046811.73
434966,5.44,7,5,19046,5245681.49
546357,5.23,6,4,27790,7529176.13
471597,5.33,7,4,24798,5179095.53
415541,7.48,8,3,44723,10100615.98
399021,7.01,6,3,29595,5799479.49
482923,6.08,8,6,32630,9613036.02
496790,4.9,6,3,24834,6478964.31
575764,7.74,8,6,18409,10867757.32
499142,5.77,7,2,43284,9351331.5
496454,5.67,6,3,29390,6725658.03
495173,6.71,7,6,35149,9841531.14
406686,6.39,6,3,19903,4333613.83
358918,7.03,7,2,53812,9304912.61
534289,5.02,5,3,42780,8832906.88
445088,5.83,6,4,46340,8230469.94
604380,4.93,6,3,35631,10059374.92
556297,5.87,8,6,36616,11160906.61
391160,6.41,5,2,37360,6519506
283528,6.88,7,3,45979,5590477.55
583758,5.6,6,2,30488,10162177.34
451507,6,7,5,43869,8952941.83
416990,6.28,7,4,31295,6201443.85
484960,6.86,7,4,40291,9979427.78
464394,5.86,7,3,11793,6313172.18
513569,6.17,9,5,23685,10652115.53
399854,5.71,6,2,41973,5017397.07
433853,7.91,8,5,56957,11877019.77
380100,6.64,7,2,39513,5737186.07
499968,5.6,9,3,37243,11089497.72
401471,8.08,6,4,16906,5592247.64
313117,4.19,9,5,39633,4213811
533225,4.52,10,4,30761,10195404.03
466025,5.55,7,2,69575,11916842.28
642117,5.18,8,6,33102,10965297.07
528409,6.45,8,4,41105,11145471.26
406616,6.02,6,4,51925,6563398.45
534233,6.87,6,3,48026,10909833.06
424025,5.91,7,2,32159,8094304.89
487249,7.08,8,3,34609,10600447.83
469399,5.22,7,5,25135,7273751.31
424487,5.17,5,2,43120,5663627.69
483224,5.78,6,3,15660,4728754.73
562492,4.66,10,5,16215,9615128.6
420567,6.77,8,4,60196,11830637.14
433167,6.52,7,5,35597,8773591.05
417137,6.89,6,2,24154,5418514.92
628817,5.2,8,6,45335,12193718.81
505225,7.42,7,2,50306,11940339.53
473123,6.21,6,2,33203,7497769.44
541100,5.26,7,4,29499,7826335.93
457681,5.4,8,6,41723,8156771.21
498015,6.15,7,2,35643,8966371.33
427371,5.79,6,2,40676,5887860.16
455882,5.93,7,4,37643,8601675.25
363643,6.21,8,5,35336,7602504.49
531286,5.32,7,3,34163,8430606.1
500276,6.16,6,3,43269,9415028.84
373016,5.76,7,3,45152,7818316.38
430521,5.13,7,3,37651,5757022.11
482272,6.39,8,4,28395,9524365.83
638113,6.54,7,3,54861,16088656.43
443625,6.67,8,3,45633,9803487.89
417872,5.45,6,2,20703,3967941.11
442288,5.57,8,5,58691,9573103.96
428246,7,7,5,26396,7793614.64
410494,5.21,6,3,35132,5053821.85
371784,5.14,6,4,40367,4798527.93
282569,4.9,8,5,16349,1064503.09
435449,7.3,7,5,34318,8963020.99
402346,5.41,7,6,23650,3980922.26
389410,6.28,9,6,38943,8405353.88
506793,6.74,8,6,41662,11250131.48
629083,4.5,7,5,30102,9952007.94
418607,4.21,5,2,33535,2177778.4
433699,7.84,7,4,38448,9366310.66
